"species","flight_type"
"Enallagma vesperum","percher"
"Enallagma weewa","percher"
"Hesperagrion heterodoxum","percher"
"Ischnura barberi","percher"
"Ischnura cervula","percher"
"Ischnura damula","percher"
"Ischnura demorsa","percher"
"Ischnura denticollis","percher"
"Ischnura erratica","percher"
"Ischnura gemina","percher"
"Ischnura hastata","percher"
"Ischnura kellicotti","percher"
"Ischnura perparva","percher"
"Ischnura posita","percher"
"Ischnura prognata","percher"
"Ischnura ramburii","percher"
"Ischnura verticalis","percher"
"Leptobasis lucifer","percher"
"Leptobasis melinogaster","percher"
"Leptobasis vacillans","percher"
"Nehalennia gracilis","percher"
"Nehalennia integricollis","percher"
"Nehalennia irene","percher"
"Nehalennia minuta","percher"
"Nehalennia pallidula","percher"
"Neoerythromma cultellatum","percher"
"Neoneura aaroni","percher"
"Neoneura amelia","percher"
"Protoneura cara","percher"
"Telebasis byersi","percher"
"Telebasis digiticollis","percher"
"Telebasis salva","percher"
"Zoniagrion exclamationis","percher"
" ",NA
"Petaluridae -",NA
"Tachopteryx thoreyi","intermediate"
"Tanypteryx hageni","intermediate"
" ",NA
"Aeshnidae -",NA
"Aeshna canadensis","flyer"
"Aeshna clepsydra","flyer"
"Aeshna constricta","flyer"
"Aeshna eremita","flyer"
"Aeshna interrupta","flyer"
"Aeshna juncea","flyer"
"Aeshna palmata","flyer"
"Aeshna persephone","flyer"
"Aeshna septentrionalis","flyer"
"Aeshna sitchensis","flyer"
"Aeshna subarctica","flyer"
"Aeshna tuberculifera","flyer"
"Aeshna umbrosa","flyer"
"Aeshna verticalis","flyer"
"Aeshna walkeri","flyer"
"Anax amazili","flyer"
"Anax concolor","flyer"
"Anax junius","flyer"
"Anax longipes","flyer"
"Anax walsinghami","flyer"
"Basiaeschna janata",NA
"Boyeria grafiana",NA
"Boyeria vinosa",NA
"Coryphaeschna adnexa","flyer"
"Coryphaeschna apeora","flyer"
"Coryphaeschna ingens","flyer"
"Coryphaeschna viriditas","flyer"
"Epiaeschna heros","flyer"
"Gomphaeschna antilope",NA
"Gomphaeschna furcillata",NA
"Gynacantha mexicana","flyer"
"Gynacantha nervosa","flyer"
"Nasiaeschna pentacantha","flyer"
"Oplonaeschna armata","flyer"
"Remartinia luteipennis","flyer"
"Remartinia secreta","flyer"
"Rhionaeschna californica","flyer"
"Rhionaeschna dugesi","flyer"
"Rhionaeschna multicolor","flyer"
"Rhionaeschna mutata","flyer"
"Rhionaeschna psilus","flyer"
"Triacanthagyna caribbea","flyer"
"Triacanthagyna septima","flyer"
"Triacanthagyna trifida",NA
" ",NA
"Gomphidae -",NA
"Aphylla angustifolia","percher"
"Aphylla protracta","percher"
"Aphylla williamsoni","percher"
"Arigomphus cornutus","percher"
"Arigomphus furcifer","percher"
"Arigomphus lentulus","percher"
"Arigomphus maxwelli","percher"
"Arigomphus pallidus","percher"
"Arigomphus submedianus","percher"
"Arigomphus villosipes","percher"
"Dromogomphus armatus","percher"
"Dromogomphus spinosus","percher"
"Dromogomphus spoliatus","percher"
"Erpetogomphus compositus","percher"
"Erpetogomphus crotalinus","percher"
"Erpetogomphus designatus","percher"
"Erpetogomphus elaps","percher"
"Erpetogomphus eutainia","percher"
"Erpetogomphus heterodon","percher"
"Erpetogomphus lampropeltis","percher"
"Erpetogomphus molossus","percher"
"Gomphurus crassus","percher"
"Gomphurus dilatatus","percher"
"Gomphurus externus","percher"
"Gomphurus fraternus","percher"
"Gomphurus gonzalezi","percher"
"Gomphurus hybridus","percher"
"Gomphurus lineatifrons","percher"
"Gomphurus lynnae","percher"
"Gomphurus modestus","percher"
"Gomphurus ozarkensis","percher"
"Gomphurus septima","percher"
"Gomphurus vastus","percher"
"Gomphurus ventricosus","percher"
"Hagenius brevistylus","percher"
"Hylogomphus abbreviatus","percher"
"Hylogomphus adelphus","percher"
"Hylogomphus apomyius","percher"
"Hylogomphus geminatus","percher"
"Hylogomphus parvidens","percher"
"Hylogomphus viridifrons","percher"
"Lanthus parvulus","percher"
"Lanthus vernalis","percher"
